ASIN,Manufacturer,Description
NA,NA,NA
B08Z1HHHTD,VIP Industries Ltd,NA
NA,NA,NA
B082Z33ZDS,Fiesto Fashion,"Spoilt for Choice, Travel Companions, Material"
B08RWBP3H2,ADISA,"Stylish front, Flower Print Stitch, Competes Your Look, Ideal Size"
B07RXYSJHF,Coalescent India,
B09ZV86P4S,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
B08WQ668WJ,"Atulitu Agency, 251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400093","Made with superior quality, Compact Design, Ideal For Every Place"
NA,NA,"Ergonomic Contoured Shape, Fits Your Laptop, Strong and Lightweight"
B09VTCNN75,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",NA
B085MHDJ93,Amazing Bags,"Backpack for Every Needs, Spacious compartments, Comfort & Quality"
B0BCYX6DW2,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086",NA
B07F1157TV,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590",NA
B09SB5DP5Y,NA,"High Quality Space Saving, Multi-Purpose:, Convenient to Use:"
B08HTR6LSK,Amazon Brand - Symbol,NA
NA,NA,NA
B08HVGQ3KT,Amazon Brand - Symbol,NA
B07SB9JJ3Z,Crea,NA
B0B3HQSLQT,NA,NA
B077D5JPXN,"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd,Bldg No.193,Indian Corporation,Bhiwandi ,Thane-421302,online@avonlifestyle.net, Indrajeet - 9321366018",NA
B076Y26KKW,"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd,Bldg No.193,Indian Corporation,Bhiwandi ,Thane-421302,online@avonlifestyle.net, Indrajeet - 9321366018",NA
B07G3CG9FC,"ADISA, careadisa@gmail.com","Quality Metal Zipper, Padded Handle, Bottle Holders"
B07QN4KXWG,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",
B09B26VHXV,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",NA
B01F7AX9ZA,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","POCKETS, PADDED BACK and SHOULDER STRAP, BOTTLE HOLDER"
B07M9BRCQ5,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028","Artificial Leather Material, Water Resistant Fabric, Fit-For-All Occasions"
B07CJCFNZG,Samsonite,NA
NA,NA,"Ergonomic   Contoured Shape, Fits Your   Laptop, Strong and   Lightweight"
B09MFWNY2C,Shaba bags,NA
NA,NA,"Specifications, Style and Substance, Comfort First"
B09VCLZ3K4,Amazing Bags,"Backpack for Every Needs, Space & Comfort, Small Pockets"
B079DDT65R,"Wildcraft, Wildcraft, No. 4AC-401, 2nd Block, Hennur Road, BDA Layout, Bangalore City Corporation Ward No. 89, Kammanahalli, Bengaluru, Karnataka 560084; Phome: 9930076456","Casual Backpack, Spacious Compartments, Comes with Adjustable Shoulder Straps"
B0BCGWRTHT,NA,NA
B08Z298H44,"VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
NA,NA,NA
NA,NA,NA
B07CJCFNZG,Samsonite,NA
B07C9XHZT1,NA,"Specifications, Style and Substance, Comfort First"
B09CQ5T3LN,NA,NA
B081GSQ9D9,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",NA
NA,NA,NA
NA,NA,NA
B08R7RPVJF,"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",NA
B09BMG8R6Y,THE HUTCH ENTERPRISES,NA
B08PD15TXH,"Sfane Trends, Sfane Trends",NA
NA,NA,NA
B07F3X45WZ,"ADISA, careadisa@gmail.com","Separate Laptop Compartment, Large Main Compartment, Earphone Slot"
NA,NA,NA
B08KT1PR6Q,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",
B0757K36YV,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",NA
NA,NA,NA
NA,NA,NA
B0836BN4X4,Wildcraft,NA
B0B6PF1L69,Dell Computers,"Tough And Travel Friendly, High quality, quiet zipper, All You Need In One"
B09FT3MW7L,"VIP Industries Ltd, ﻿VIP Industries Ltd, DGP House, 5 th Floor, 88C Old Prabhadevi Road, Mumbai, Maharashtra - 400025; 24X7 Toll Free Helpline No. 1800-1022-256",NA
B09L79TM6D,NA,
B0B6G2SQW9,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",NA
NA,NA,NA
B0847PGZZM,"TRAWOC, TRAWOC Gears, Customer care: mail@trawoc.com, Whatsapp: 86067 96695",NA
B0844R2GMK,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",NA
B0BCYX6DW2,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086",NA
B08Z298H44,"VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
NA,NA,NA
B07X4HWF27,SaiTech IT Private Limited,"MULTIPLE COMPARTMENT :, MULTIFUNCTION & DURABLE :, IDEAL APPLICATION :"
B0B7DVC3TL,Martucci,"Ultimate Functional, Style and Substance, Ergonomically Designed Back Support"
B08RB3ZSLH,AB Amazing Bags,"CASUAL BACKPACK, Padded Back & Shoulder Straps, Spacious compartments"
B0B69M182Q,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",NA
B0BJXKVGK4,Half_Moon,NA
NA,NA,NA
B085MHDJ93,Amazing Bags,"Backpack for Every Needs, Spacious compartments, Comfort & Quality"
B07222KX3S,"Freewill Sports Private Limited, Freewill Sports Private Limited - 391 Leather Complex Kapurthala Road Jalandhar,144021 (Punjab) Contact No. - 0181-5057000,5099000",NA
B0992CMS1N,"Baggit India Pvt Ltd, Baggit India Pvt Ltd",NA
B0B6G58BYC,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",NA
B099FFLQ5Q,NA,NA
B0B6G2SQW9,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",NA
NA,NA,NA
B09QRYDXJH,NA,
B0756WRR9Z,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)","Premium Material Construction, Spacious Compartments, Incredibly Stylish"
